year,university,school,degree,employment_rate,gross_mean,gross_median,gross_25_percentile,gross_75_percentile
2009,NUS,Faculty of Science,Bachelor of Applied Science,76.9,2393,2500,2250,2500
2009,NTU,"College of Humanities, Arts and Social Sciences","Art, Design and Media",61.7,2431,2300,2100,2800
2009,NUS,NUS Business School,Bachelor of Business Administration (Accountancy),97.1,2448,2400,2400,2500
2009,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts,75.9,2511,2500,2200,2600
2009,NUS,Faculty of Science,Bachelor of Science,76.5,2525,2500,2300,2600
2009,NTU,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours programme),90,2529,2400,2400,2500
2009,NUS,School of Computing,Bachelor of Communication and Media,70.8,2536,2650,2000,3000
2009,NTU,"College of Humanities, Arts and Social Sciences",Communication Studies,78.2,2562,2600,2100,2900
2009,NUS,Yong Loo Lin School of Medicine,Bachelor of Science (Nursing),100,2568,2550,2500,2700
2009,NTU,"College of Humanities, Arts and Social Sciences",English Literature,83.3,2580,2750,2300,2850
2009,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme),72,2613,2500,2275,2850
2009,NTU,College of Engineering,Maritime Studies,89.5,2624,2500,2350,2900
2009,NTU,"College of Humanities, Arts and Social Sciences",Psychology,81.1,2629,2700,2250,3000
2009,NUS,Faculty of Engineering,Bachelor of Environmental Engineering,63.2,2667,2650,2350,3000
2009,SMU,School of Social Sciences (4-year programme),Social Sciences (4-year programme) Cum Laude and above,73.3,2673,2850,2350,2950
2009,NUS,Faculty of Science,Bachelor of Applied Science (Hons),94.7,2674,2600,2400,3000
2009,NUS,NUS Business School,Bachelor of Business Administration (3-yr programme),84.5,2677,2500,2200,2700
2009,NUS,Faculty of Arts and Social Sciences,Bachelor of Arts (Hons),80.3,2689,2750,2500,2900
2009,NTU,"College of Humanities, Arts and Social Sciences",Economics,88.7,2718,2700,2450,2950
2009,NTU,College of Engineering,Materials Engineering,75.3,2745,2800,2500,3000
2009,NTU,College of Business (Nanyang Business School),Business (3-yr direct Honours programme),88.3,2754,2700,2300,3050
2009,NTU,"College of Humanities, Arts and Social Sciences",Chinese,98,2756,2800,2600,2900
2009,NTU,College of Engineering,Civil Engineering,90.8,2769,2800,2500,3000
2009,NUS,School of Computing,Bachelor of E.Commerce,82.5,2774,2700,2450,3000
