Industry,yr2015,yr2016
Manufacturing,4236,4333
Construction,3488,3488
Services,3509,3625
Wholesale and Retail Trade,3467,3500
Transportation and Storage,2400,2470
Accommodation and Food Services,2058,2167
Information and Communications,5488,5005
Financial and Insurance Services,6534,5844
Real Estate Services,3250,3000
Professional Services,5063,5000
Administrative and Support Services,1950,2100
Public Administration and Education,5333,5500
Health and Social Services,4689,4635
"Arts, Entertainment and Recreation",3000,3033
"Other Community, Social and Personal Services",2600,2800
Others,3792,3500
