year,consumer_prices
1961,0.40
1962,0.42
1963,2.21
1964,1.73
1965,0.18
1966,2.01
1967,3.34
1968,0.66
1969,-0.27
1970,0.46
1971,1.76
1972,2.08
1973,19.64
1974,22.37
1975,2.54
1976,-1.84
1977,3.16
1978,4.87
1979,4.08
1980,8.53
1981,8.18
1982,3.92
1983,1.20
1984,2.60
1985,0.48
1986,-1.39
1987,0.52
1988,1.52
1989,2.35
1990,3.46
1991,3.43
1992,2.26
1993,2.29
1994,3.10
1995,1.72
1996,1.38
1997,2.00
1998,-0.27
1999,0.02
2000,1.36
2001,1.00
2002,-0.39
2003,0.51
2004,1.66
2005,0.43
2006,1.02
2007,2.10
2008,6.52
2009,0.60
2010,2.80
2011,5.25
2012,4.53
2013,2.38
2014,1.01
2015,-0.50
2016,-0.50
