occupation_group,date,vacancy,recruitment,resignation
"Professional, Managers, Executive and Technicians ",2006-03-01,2.3,2,1.5
"Professional, Managers, Executive and Technicians ",2006-06-01,2.9,2.3,1.6
"Professional, Managers, Executive and Technicians ",2006-09-01,2.5,2.5,1.6
"Professional, Managers, Executive and Technicians ",2006-12-01,2.8,1.9,1.2
"Professional, Managers, Executive and Technicians ",2007-03-01,2.9,2,1.4
"Professional, Managers, Executive and Technicians ",2007-06-01,3.3,2.6,1.7
"Professional, Managers, Executive and Technicians ",2007-09-01,3,2.8,1.8
"Professional, Managers, Executive and Technicians ",2007-12-01,3,2,1.3
"Professional, Managers, Executive and Technicians ",2008-03-01,3.1,2.2,1.5
"Professional, Managers, Executive and Technicians ",2008-06-01,3.2,2.6,1.7
"Professional, Managers, Executive and Technicians ",2008-09-01,2.9,2.6,1.6
"Professional, Managers, Executive and Technicians ",2008-12-01,2.2,1.6,1.1
"Professional, Managers, Executive and Technicians ",2009-03-01,1.9,1.4,1
"Professional, Managers, Executive and Technicians ",2009-06-01,2.2,1.6,1.1
"Professional, Managers, Executive and Technicians ",2009-09-01,2.4,1.9,1.2
"Professional, Managers, Executive and Technicians ",2009-12-01,2.6,1.6,1.1
"Professional, Managers, Executive and Technicians ",2010-03-01,2.6,2.1,1.3
"Professional, Managers, Executive and Technicians ",2010-06-01,3.1,2.4,1.6
"Professional, Managers, Executive and Technicians ",2010-09-01,3,2.6,1.6
"Professional, Managers, Executive and Technicians ",2010-12-01,2.8,1.8,1.2
"Professional, Managers, Executive and Technicians ",2011-03-01,3,2,1.3
"Professional, Managers, Executive and Technicians ",2011-06-01,3.4,2.2,1.5
"Professional, Managers, Executive and Technicians ",2011-09-01,2.8,2.6,1.6
"Professional, Managers, Executive and Technicians ",2011-12-01,2.7,1.8,1.1
"Professional, Managers, Executive and Technicians ",2012-03-01,2.6,1.9,1.3
"Professional, Managers, Executive and Technicians ",2012-06-01,2.5,2,1.4
"Professional, Managers, Executive and Technicians ",2012-09-01,2.7,2.2,1.4
"Professional, Managers, Executive and Technicians ",2012-12-01,2.3,1.6,1.1
"Professional, Managers, Executive and Technicians ",2013-03-01,2.6,1.8,1.3
"Professional, Managers, Executive and Technicians ",2013-06-01,2.8,2,1.4
"Professional, Managers, Executive and Technicians ",2013-09-01,2.7,2.2,1.5
"Professional, Managers, Executive and Technicians ",2013-12-01,2.7,1.6,1.1
"Professional, Managers, Executive and Technicians ",2014-03-01,2.9,1.7,1.3
"Professional, Managers, Executive and Technicians ",2014-06-01,3.2,1.9,1.5
"Professional, Managers, Executive and Technicians ",2014-09-01,3.1,2.2,1.5
"Professional, Managers, Executive and Technicians ",2014-12-01,2.9,1.6,1.1
"Professional, Managers, Executive and Technicians ",2015-03-01,3.2,1.7,1.2
"Professional, Managers, Executive and Technicians ",2015-06-01,3.2,1.9,1.4
"Professional, Managers, Executive and Technicians ",2015-09-01,2.7,2,1.4
"Professional, Managers, Executive and Technicians ",2015-12-01,2.5,1.5,1.1
"Professional, Managers, Executive and Technicians ",2016-03-01,2.5,1.5,1.2
"Professional, Managers, Executive and Technicians ",2016-06-01,2.7,1.7,1.3
"Professional, Managers, Executive and Technicians ",2016-09-01,2.5,1.7,1.2
"Professional, Managers, Executive and Technicians ",2016-12-01,2.4,1.3,1
"Clerical, Sales and Services Workers ",2006-03-01,2.3,3.3,2.8
"Clerical, Sales and Services Workers ",2006-06-01,2.7,3.7,3
"Clerical, Sales and Services Workers ",2006-09-01,2.6,3.9,3
"Clerical, Sales and Services Workers ",2006-12-01,2.7,3.7,2.5
"Clerical, Sales and Services Workers ",2007-03-01,2.9,3.5,3
"Clerical, Sales and Services Workers ",2007-06-01,3.1,4.1,3.3
"Clerical, Sales and Services Workers ",2007-09-01,3,3.9,3.1
"Clerical, Sales and Services Workers ",2007-12-01,3.1,3.5,2.6
"Clerical, Sales and Services Workers ",2008-03-01,3,3.7,3.1
"Clerical, Sales and Services Workers ",2008-06-01,3.1,4.2,3.4
"Clerical, Sales and Services Workers ",2008-09-01,2.8,3.7,2.9
"Clerical, Sales and Services Workers ",2008-12-01,2.2,3.3,2.4
"Clerical, Sales and Services Workers ",2009-03-01,1.7,2.6,2.7
"Clerical, Sales and Services Workers ",2009-06-01,1.7,3,2.7
"Clerical, Sales and Services Workers ",2009-09-01,2.7,3.2,2.8
"Clerical, Sales and Services Workers ",2009-12-01,2.4,3.5,2.5
"Clerical, Sales and Services Workers ",2010-03-01,2.5,3.8,3.2
"Clerical, Sales and Services Workers ",2010-06-01,3,4.2,3.3
"Clerical, Sales and Services Workers ",2010-09-01,3.5,4,3.2
"Clerical, Sales and Services Workers ",2010-12-01,2.8,4,2.8
"Clerical, Sales and Services Workers ",2011-03-01,3.2,3.6,3.1
"Clerical, Sales and Services Workers ",2011-06-01,3.6,4,3.2
"Clerical, Sales and Services Workers ",2011-09-01,3.7,3.9,3.2
"Clerical, Sales and Services Workers ",2011-12-01,3.7,3.9,2.7
"Clerical, Sales and Services Workers ",2012-03-01,3.2,3.6,3.3
"Clerical, Sales and Services Workers ",2012-06-01,3.1,3.9,3.4
"Clerical, Sales and Services Workers ",2012-09-01,4,3.7,3.2
"Clerical, Sales and Services Workers ",2012-12-01,3.2,3.7,2.7
"Clerical, Sales and Services Workers ",2013-03-01,3.3,3.7,3.4
"Clerical, Sales and Services Workers ",2013-06-01,3.2,4,3.3
"Clerical, Sales and Services Workers ",2013-09-01,4.7,3.6,3
"Clerical, Sales and Services Workers ",2013-12-01,4,3.8,2.7
"Clerical, Sales and Services Workers ",2014-03-01,4.2,3.6,3.4
"Clerical, Sales and Services Workers ",2014-06-01,4.3,4,3.5
"Clerical, Sales and Services Workers ",2014-09-01,4.7,3.7,3.2
"Clerical, Sales and Services Workers ",2014-12-01,4.1,3.7,2.6
"Clerical, Sales and Services Workers ",2015-03-01,4.1,3.4,3
"Clerical, Sales and Services Workers ",2015-06-01,4.1,3.7,3.2
"Clerical, Sales and Services Workers ",2015-09-01,4,3.3,2.6
"Clerical, Sales and Services Workers ",2015-12-01,3.4,3.6,2.5
"Clerical, Sales and Services Workers ",2016-03-01,3.2,3.2,2.9
"Clerical, Sales and Services Workers ",2016-06-01,3.2,3.4,2.9
"Clerical, Sales and Services Workers ",2016-09-01,3.6,2.9,2.6
"Clerical, Sales and Services Workers ",2016-12-01,2.8,3,2.3
"Production and Transport Operators, Cleaners and Labourers ",2006-03-01,1.5,2.9,2
"Production and Transport Operators, Cleaners and Labourers ",2006-06-01,2.1,2.9,2
"Production and Transport Operators, Cleaners and Labourers ",2006-09-01,2,3.1,1.9
"Production and Transport Operators, Cleaners and Labourers ",2006-12-01,1.9,2.7,1.6
"Production and Transport Operators, Cleaners and Labourers ",2007-03-01,2,2.7,1.9
"Production and Transport Operators, Cleaners and Labourers ",2007-06-01,1.9,3.6,2
"Production and Transport Operators, Cleaners and Labourers ",2007-09-01,1.9,3.3,1.9
"Production and Transport Operators, Cleaners and Labourers ",2007-12-01,2.2,2.8,1.6
"Production and Transport Operators, Cleaners and Labourers ",2008-03-01,2,3,2
"Production and Transport Operators, Cleaners and Labourers ",2008-06-01,1.9,3.3,2.2
"Production and Transport Operators, Cleaners and Labourers ",2008-09-01,1.8,3.1,1.9
"Production and Transport Operators, Cleaners and Labourers ",2008-12-01,0.9,2.3,1.6
"Production and Transport Operators, Cleaners and Labourers ",2009-03-01,0.7,1.9,2
"Production and Transport Operators, Cleaners and Labourers ",2009-06-01,0.9,2.2,1.9
"Production and Transport Operators, Cleaners and Labourers ",2009-09-01,1.6,2.7,2
"Production and Transport Operators, Cleaners and Labourers ",2009-12-01,1.5,2.5,1.8
"Production and Transport Operators, Cleaners and Labourers ",2010-03-01,1.6,2.6,2.1
"Production and Transport Operators, Cleaners and Labourers ",2010-06-01,2,2.7,2.3
"Production and Transport Operators, Cleaners and Labourers ",2010-09-01,2.1,2.8,2.1
"Production and Transport Operators, Cleaners and Labourers ",2010-12-01,1.9,2.5,1.8
"Production and Transport Operators, Cleaners and Labourers ",2011-03-01,2.2,2.7,2.1
"Production and Transport Operators, Cleaners and Labourers ",2011-06-01,2.4,2.8,2.2
"Production and Transport Operators, Cleaners and Labourers ",2011-09-01,2.4,2.9,2.1
"Production and Transport Operators, Cleaners and Labourers ",2011-12-01,2.1,2.7,1.8
"Production and Transport Operators, Cleaners and Labourers ",2012-03-01,1.8,3,2.4
"Production and Transport Operators, Cleaners and Labourers ",2012-06-01,2,3.4,2.4
"Production and Transport Operators, Cleaners and Labourers ",2012-09-01,2.3,3.1,2.1
"Production and Transport Operators, Cleaners and Labourers ",2012-12-01,1.6,3.1,2
"Production and Transport Operators, Cleaners and Labourers ",2013-03-01,2.2,3.1,2.3
"Production and Transport Operators, Cleaners and Labourers ",2013-06-01,2.1,3.5,2.4
"Production and Transport Operators, Cleaners and Labourers ",2013-09-01,2.4,3,2.1
"Production and Transport Operators, Cleaners and Labourers ",2013-12-01,2.2,2.7,2
"Production and Transport Operators, Cleaners and Labourers ",2014-03-01,2.3,2.7,2.4
"Production and Transport Operators, Cleaners and Labourers ",2014-06-01,2.4,3.2,2.5
"Production and Transport Operators, Cleaners and Labourers ",2014-09-01,2.3,3,2.2
"Production and Transport Operators, Cleaners and Labourers ",2014-12-01,2.1,2.6,1.9
"Production and Transport Operators, Cleaners and Labourers ",2015-03-01,2.1,2.5,2.2
"Production and Transport Operators, Cleaners and Labourers ",2015-06-01,1.9,2.9,2.4
"Production and Transport Operators, Cleaners and Labourers ",2015-09-01,2,2.6,2
"Production and Transport Operators, Cleaners and Labourers ",2015-12-01,1.7,2.4,1.9
"Production and Transport Operators, Cleaners and Labourers ",2016-03-01,1.6,2.7,2.1
"Production and Transport Operators, Cleaners and Labourers ",2016-06-01,1.6,2.7,2.3
"Production and Transport Operators, Cleaners and Labourers ",2016-09-01,1.7,2.4,2.1
"Production and Transport Operators, Cleaners and Labourers ",2016-12-01,1.5,2.2,1.9
