date,vacancy,recruitment,resignation
2006-03-01,2,2.7,2
2006-06-01,2.5,2.9,2.1
2006-09-01,2.3,3.1,2
2006-12-01,2.4,2.6,1.7
2007-03-01,2.5,2.6,2
2007-06-01,2.7,3.3,2.2
2007-09-01,2.6,3.2,2.1
2007-12-01,2.7,2.7,1.7
2008-03-01,2.6,2.8,2
2008-06-01,2.7,3.2,2.3
2008-09-01,2.4,3.1,2
2008-12-01,1.7,2.2,1.6
2009-03-01,1.4,1.9,1.8
2009-06-01,1.6,2.1,1.8
2009-09-01,2.2,2.5,1.8
2009-12-01,2.1,2.4,1.7
2010-03-01,2.2,2.6,2
2010-06-01,2.7,2.9,2.2
2010-09-01,2.8,3,2.1
2010-12-01,2.5,2.6,1.8
2011-03-01,2.8,2.6,2
2011-06-01,3.1,2.8,2.1
2011-09-01,2.9,3,2.1
2011-12-01,2.7,2.6,1.7
2012-03-01,2.4,2.7,2.1
2012-06-01,2.5,2.9,2.2
2012-09-01,2.8,2.8,2.1
2012-12-01,2.2,2.6,1.8
2013-03-01,2.6,2.7,2.1
2013-06-01,2.6,3,2.2
2013-09-01,3,2.8,2
2013-12-01,2.8,2.4,1.7
2014-03-01,3,2.5,2.1
2014-06-01,3.1,2.8,2.2
2014-09-01,3.2,2.8,2.1
2014-12-01,2.9,2.3,1.7
2015-03-01,3,2.3,1.9
2015-06-01,2.9,2.6,2.1
2015-09-01,2.7,2.5,1.9
2015-12-01,2.4,2.2,1.7
2016-03-01,2.4,2.3,1.8
2016-06-01,2.4,2.4,2
2016-09-01,2.4,2.2,1.8
2016-12-01,2.2,2,1.6
