year,industry,overall,PayUnattractive ,PreferShorterWorkweek ,JobPhysicallyStrenuous ,PreferNotToDoShift,WorkingEnvironmentNotConducive,LackWorkAttitude,LackingInCareerProspects ,CompetitionTooStiff ,NecessaryWorkExperience ,WorkingLocationFar,YoungLocalCandidates,ImageSectorPoor ,NecessarySpecialisedSkills ,NecessaryQualifications
2016,Total,62.2,43.7,36.5,30,33.2,24.7,23.2,22.4,21.5,16.4,11.6,18.1,14.1,6.1,4.8
2016,Degree and Above,36.6,22.8,6.4,6.2,4.5,5.7,12.3,21.6,6.5,53.2,4.4,2.1,1.5,22.9,13.4
2016,Diploma and Professional Qualification,44.4,40.5,24.7,12.9,25.6,11.2,15.3,22,10.4,25.9,12.4,7.8,4.5,9.6,9.3
2016,Post-Secondary (Non-Tertiary),65.9,45.8,32.8,29.6,39.5,30.6,27.4,26.8,27.6,13.7,17.5,22.5,10.7,4.3,9.4
2016,Secondary,76.7,45.8,52.9,35,42,22.4,25.9,23.7,24.2,9.6,10.1,20.9,12.7,2.2,2.6
2016,Lower Secondary,90.2,52.9,52.1,49.4,47.9,27.8,31.5,25.2,33.7,6.4,15.7,28.2,22,1.9,1.4
2016,Primary or Lower,83.3,49.9,41.3,39,38.2,37.4,26.4,20.2,26,3.7,13.1,23.6,22.8,1.1,0.6
2015,Total,64.2,46.9,37.1,35.4,31.4,26.7,22.9,18,22.8,15.6,12.7,12.3,11.9,5.8,5.3
2015,Degree and Above,36.7,22.9,5.2,4.3,5,4.2,11.1,18,4.1,50.2,4.8,2.3,1.3,18.7,13.2
2015,Diploma and Professional Qualification,46.7,36.3,25.5,14,20.3,10.2,20.8,21.6,12.6,25.2,12.6,5.2,5.4,13.2,9.4
2015,Post-Secondary (Non-Tertiary),58.9,42.9,30.2,26.1,26.2,22.9,19.8,23.7,23,15.7,18.1,11.9,9.8,5.9,13.7
2015,Secondary,73.4,53,45.2,41.6,37.1,25.4,26.9,17.4,28.5,12.7,10.5,12.4,12.9,3.2,5.2
2015,Lower Secondary,89.9,49.3,36.2,48.9,34.4,31.3,20.3,16.6,35.7,7.2,11.5,13.3,12.2,1.1,1.7
2015,Primary or Lower,89.1,56.1,50.2,48.8,42.3,41.4,27.1,16.4,26.2,3.1,16.4,18.3,17.8,1.2,0.4
