Year,Industry,Reason1,Reason2,Reason3,Reason4,Reason5,Reason6,Reason7,Reason8,Reason9,Reason10,Reason11,Reason12,Reason13,Reason14,Reason15
2016,Degree and Above,0.366,0.228,0.064,0.062,0.045,0.057,0.123,0.216,0.065,0.532,0.044,0.021,0.015,0.229,0.134
2016,Diploma and Professional Qualification,0.444,0.405,0.247,0.129,0.256,0.112,0.153,0.22,0.104,0.259,0.124,0.078,0.045,0.096,0.093
2016,Post-Secondary (Non-Tertiary),0.659,0.458,0.328,0.296,0.395,0.306,0.274,0.268,0.276,0.137,0.175,0.225,0.107,0.043,0.094
2016,Secondary,0.767,0.458,0.529,0.35,0.42,0.224,0.259,0.237,0.242,0.096,0.101,0.209,0.127,0.022,0.026
2016,Lower Secondary,0.902,0.529,0.521,0.494,0.479,0.278,0.315,0.252,0.337,0.064,0.157,0.282,0.22,0.019,0.014
2016,Primary or Lower,0.833,0.499,0.413,0.39,0.382,0.374,0.264,0.202,0.26,0.037,0.131,0.236,0.228,0.011,0.006
2015,Degree and Above,0.367,0.229,0.052,0.043,0.05,0.042,0.111,0.18,0.041,0.502,0.048,0.023,0.013,0.187,0.132
2015,Diploma and Professional Qualification,0.467,0.363,0.255,0.14,0.203,0.102,0.208,0.216,0.126,0.252,0.126,0.052,0.054,0.132,0.094
2015,Post-Secondary (Non-Tertiary),0.589,0.429,0.302,0.261,0.262,0.229,0.198,0.237,0.23,0.157,0.181,0.119,0.098,0.059,0.137
2015,Secondary,0.734,0.53,0.452,0.416,0.371,0.254,0.269,0.174,0.285,0.127,0.105,0.124,0.129,0.032,0.052
2015,Lower Secondary,0.899,0.493,0.362,0.489,0.344,0.313,0.203,0.166,0.357,0.072,0.115,0.133,0.122,0.011,0.017
2015,Primary or Lower,0.891,0.561,0.502,0.488,0.423,0.414,0.271,0.164,0.262,0.031,0.164,0.183,0.178,0.012,0.004
